,Peak,Prominence,width
0,56972,50.958829566532984,1143.9634868711
1,60642,84.96730847984138,1900.1689444981967
2,65379,33.07645405161705,1633.5595811728272
3,77070,1137.2178576749914,1104.672321804217
4,82336,158.12816980140485,1092.5305828232085
5,84340,516.545516406585,1499.7676669168286
6,91870,40.30061041180129,1138.14273765884
7,93437,927.9456363000617,1166.2302796519507
8,100585,173.94268038419995,1048.2684948364913
9,109350,745.6915747029192,1007.0994397131435
10,111751,1009.5800679339203,1411.4846784870897
11,119280,50.978196579400816,1557.8225864201231
12,129415,49.46886180163696,1138.3435438211309
13,136378,306.8139670986763,1018.5965640900249
14,150238,45.08406107063981,1319.003042048018
15,154804,329.21618636478894,1037.4087300929823
16,166325,91.54780220345971,1096.9341204245866
17,170542,320.2275888046012,1195.1527163326682
18,173279,28.25172343374906,1079.203323695343
19,177883,235.2041612344415,1036.8610697168333
20,185889,257.7586165800185,1039.792378756567
21,189548,90.43596815917647,1104.3660103067523
22,192889,80.28326703950744,1025.111285325518
23,205637,109.9008220750627,1200.418946619262
24,212324,50.62987408549777,1315.8131164754159
25,222887,26.94287736558191,1073.339216258435
26,231473,58.99147349321359,1034.652259510971
27,248441,217.46952737592622,1274.7971433223574
28,252528,44.28512933266873,1592.5227587081026
29,264132,293.58779482517707,1233.6791373266606
30,279634,83.67210812945689,1105.3898214478977
31,291342,20.392558974626866,1143.3220361699932
32,306879,219.84957348771616,1560.5570431862725
33,354847,152.7311761874824,1049.8949129885295
34,358140,21.44601498277237,1300.2038306042086
35,360680,192.28416250837284,1057.8617978246184
36,562031,117.81571659462736,1129.688663707464
37,593145,22.154646744865794,1083.793499643216
38,948432,20.10211529640852,1063.579464420327
39,1002230,24.300894027764826,1047.0309198386967
40,1016423,23.130247723700798,1017.1604186499026
41,1074427,212.00147433933654,1435.28286251612
42,1082455,23.3806848958519,1858.8933695873711
43,1209113,215.65505414720997,1070.3709121202119
44,1211397,21.487986933447566,1436.29872504808
45,1418103,54.41261632152987,1009.3302759621292
46,1439981,30.082282357902592,1664.1634870448615
47,1473138,22.98739456952406,1567.659741332056
48,1485288,21.612173777885197,1002.0876031296793
49,1639805,46.74587382856181,1347.4182636225596
50,1687167,30.123608954943116,1878.473523426801
51,1693446,20.004399359110863,1068.4425174675416
52,1697316,40.70422825059973,1235.738171682693
53,2155533,22.548103167617533,1060.1201103944331
54,2379756,20.706053781094425,1405.5813126331195
55,2394079,48.70132817013274,1516.3646023045294
56,2492481,36.47122322617794,1402.1028828741983
57,2778319,93.62296177442768,1257.0408029770479
58,2783946,31.45039453765213,1789.0519601595588
59,2786767,48.97201348482353,1016.8698764313012
60,2894865,36.550547999980594,1419.6619392582215
61,2899048,20.65075293749331,1572.9298259112984
62,2906543,22.39400064119159,1090.2890353165567
63,2911061,26.600411441867422,1715.4672673670575
64,2931956,20.180272830321854,1378.4881701860577
65,2934460,24.00014096870474,1544.920531233307
66,2939666,22.455440010299895,1712.016531090252
67,2962073,156.72652208598,1717.4175405986607
68,2966822,46.522074369588125,1969.8558731460944
69,2969607,21.61337422426288,1163.7486661425792
70,2973745,54.53111515191213,1194.4787707440555
71,2977622,55.914381127635224,1883.9120212984271
72,2979729,20.054317543923183,1746.2006290974095
73,3039201,25.73829769000512,1380.6543369279243
74,3068160,47.23622629832113,1252.044615731109
75,3089545,26.019460272506983,1510.3757299715653
76,3092963,24.070017893906204,1150.5692331078462
77,3190101,92.20548785459282,1108.7473703627475
78,3248180,33.55176741714312,1066.8083871966228
79,3252688,58.2210660537217,1063.7986510205083
80,3264101,21.572208492378145,1853.3408258906566
81,3330533,25.259407813436813,1067.8508592057042
82,3337110,116.92671877608063,1826.2507939417847
83,3435990,186.61880109809522,1010.4333212305792
84,3437518,21.878914830022214,1018.2486897101626
85,3612102,45.722908794703955,1559.1493372190744
86,3613918,23.04446983843356,1151.2124208984897
87,3883297,48.04240219555439,1013.9157806355506
88,4138426,47.29539909613406,1030.8320784335956
89,4150859,26.14340113720273,1609.524972201325
90,4153646,50.92342856406044,1364.185657447204
91,4578824,22.54529028435506,1611.8953619310632
92,4588251,25.201541938164652,1696.9790396355093
93,4719638,22.635626278289124,1267.7508035190403
94,4724095,61.538838885658826,1279.6526285521686
95,4736505,22.856665834297242,1509.618576402776
96,4927987,20.32687694905561,1161.2105458127335
97,4929603,32.805543005733284,1863.1628497727215
98,5205565,21.08359731680018,1157.3937488086522
99,5218800,32.97095276492531,1490.112624105066
100,5223654,34.1613493789754,1784.1826751464978
